Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Theranos,https://www.crunchbase.com/organization/theranos,"Biotechnology, Consumer, Health Care, Health Diagnostics","Palo Alto, California, United States",Theranos is a consumer healthcare technology company.,info@theranos.com,6508389804,http://www.theranos.com,For Profit,10,Private Equity,"$100,000,000",2017-12-23,Debt Financing,"$1,368,500,318","Biotechnology, Health Care, Science and Engineering",Private
Mevion Medical Systems,https://www.crunchbase.com/organization/mevion-medical-systems,"Biotechnology, Health Care, Therapeutics","Littleton, Massachusetts, United States",Mevion Medical Systems develops radiation therapies for the treatment of cancer.,,(978)540-1500,http://www.mevion.com,For Profit,11,Private Equity,"$150,000,000",2018-06-14,Private Equity,"$597,320,853","Biotechnology, Health Care, Science and Engineering",Private
JHL Biotech,https://www.crunchbase.com/organization/jhl-biotech,"Biotechnology, Health Diagnostics, Pharmaceutical","Taiwan, Jiangsu, China",JHL Biotech is a start-up company founded in 2012 with a vision of making biopharmaceuticals affordable and accessible.,gmanker@jhlbiotech.com,+88636583899,http://www.jhlbiotech.com/,For Profit,4,Private Equity,"$106,000,000",2018-05-29,Private Equity,"$186,600,000","Biotechnology, Health Care, Science and Engineering",Private
Proteus Digital Health,https://www.crunchbase.com/organization/proteus-biomedical,"Biotechnology, Health Care, Mobile, Software","Redwood City, California, United States","Proteus Digital Health develops digital medicines that collect and aggregate various behavioral, physiological and therapeutic metrics.",inquiries@proteus.com,(650)632-4031,http://www.proteus.com,For Profit,13,Private Equity,"$40,000,000",2016-02-26,Private Equity,"$422,275,979","Biotechnology, Health Care, Mobile, Science and Engineering, Software",Private
PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,"Biotechnology, Medical Device, Robotics","Redwood Shores, California, United States",PROCEPT BioRobotics is a clinical-stage medical device company based in Silicon Valley,info@procept-biorobotics.com,(650) 232-7200,http://procept-biorobotics.com,For Profit,6,Private Equity,"$118,000,000",2018-02-20,Private Equity,"$200,667,625","Biotechnology, Hardware, Health Care, Science and Engineering, Software",Private
Celmatix,https://www.crunchbase.com/organization/celmatix,"Biotechnology, Fertility, Genetics, Health Care, Women's","New York, New York, United States",Celmatix is a next-generation women's health company leveraging big-data and genomics.   ,,1(646) 389-0245,http://www.celmatix.com,For Profit,5,Private Equity,"$12,500,000",2017-08-25,Convertible Note,"$59,626,456","Biotechnology, Health Care, Science and Engineering",Private
OptiScan Biomedical,https://www.crunchbase.com/organization/optiscan-biomedical,"Biotechnology, Health Care, Medical","Hayward, California, United States",OptiScan Biomedical develops glucose monitoring systems to assist healthcare providers to manage the glucose level of the patients.,info@optiscancorp.com,(510)342-5800,http://www.optiscancorp.com,For Profit,5,Private Equity,"$29,471,095",2016-06-07,Private Equity,"$130,227,852","Biotechnology, Health Care, Science and Engineering",Private
Sonendo,https://www.crunchbase.com/organization/sonendo,"Biotechnology, Health Care, Medical","Laguna Hills, California, United States","Sonendo, Inc. is a privately-held, venture-backed company developing innovative and disruptive technologies to transform endodontic therapy.",info@sonendo.com,(949) SONENDO or (949) 766-3636,http://www.sonendo.com,For Profit,11,Private Equity,"$50,000,000",2017-09-18,Private Equity,"$169,749,874","Biotechnology, Health Care, Science and Engineering",Private
SomaLogic,https://www.crunchbase.com/organization/somalogic,"Biotechnology, Health Diagnostics, Life Science, Medical Device, Pharmaceutical","Boulder, Colorado, United States","SomaLogic, a protein biomarker discovery and clinical diagnostics company, offers SOMAmer technology to improve diagnostic products.",information@somalogic.com,(303)625-9000,http://www.somalogic.com,For Profit,13,Private Equity,"$200,000,000",2018-01-03,Private Equity,"$379,517,993","Biotechnology, Health Care, Science and Engineering",Private
CVRx,https://www.crunchbase.com/organization/cvrx,"Biotechnology, Health Diagnostics, Medical, Medical Device","Minneapolis, Minnesota, United States",CVRx is a medical device company developing implantable technology for the treatment of high blood pressure.,,(763)416-2840,http://cvrx.com,For Profit,9,Private Equity,"$11,191,278",2017-05-31,Private Equity,"$351,791,278","Biotechnology, Health Care, Science and Engineering",Private
Pulmonx,https://www.crunchbase.com/organization/pulmonx,"Biotechnology, Health Care, Medical Device","Redwood City, California, United States",Pulmonx provides minimally-invasive medical devices and technologies for the diagnosis and treatment of pulmonary disorders.,info@pulmonx.com,650-364-0400,http://www.pulmonx.com,,7,Private Equity,"$20,000,000",2014-09-17,Debt Financing,"$98,925,000","Biotechnology, Health Care, Science and Engineering",Private
ADC Therapeutics,https://www.crunchbase.com/organization/adc-therapeutics,"Biotechnology, Medical","Epalinges, Vaud, Switzerland",ADC Therapeutics develops antibody drug conjugates and non-antibody drug conjugate products.,info@adctherapeutics.com,+41216530200,http://www.adctherapeutics.com,For Profit,4,Private Equity,"$200,000,000",2017-10-23,Private Equity,"$425,000,000","Biotechnology, Health Care, Science and Engineering",Private
Warp Drive Bio,https://www.crunchbase.com/organization/warp-drive-bio,"Biotechnology, Genetics, Natural Resources, Search Engine","Cambridge, Massachusetts, United States",Warp Drive Bio develops genomic search engine and customized search queries that reveal hidden natural products based on genomic signature.,info@warpdrivebio.com,617-492-0913,http://www.warpdrivebio.com,For Profit,1,Private Equity,"$125,000,000",2012-01-11,Private Equity,"$125,000,000","Biotechnology, Health Care, Internet Services, Natural Resources, Science and Engineering, Sustainability",Private
PaxVax,https://www.crunchbase.com/organization/paxvax,"Biotechnology, Medical, Pharmaceutical","Menlo Park, California, United States","PaxVax is a start-up developing candidate oral vaccines for key infectious diseases, including influenza.",hr@paxvax.com,8584500544,http://paxvax.com,,8,Private Equity,"$105,000,000",2015-12-08,Private Equity,"$234,606,472","Biotechnology, Health Care, Science and Engineering",Private
Gelesis,https://www.crunchbase.com/organization/gelesis,"Biotechnology, Diabetes, Medical Device","Boston, Massachusetts, United States","Gelesis is a biotechnology company developing first-in-class therapeutics to safely treat obese, overweight, and diabetic patients.",info@gelesis.com,,http://www.gelesis.com,For Profit,8,Private Equity,"$30,000,000",2018-02-28,Private Equity,"$118,200,000","Biotechnology, Health Care, Science and Engineering",Private
Strand Life Sciences,https://www.crunchbase.com/organization/strand-life-sciences,"Bioinformatics, Biotechnology, Genetics","Bangalore, Karnataka, India",Strand is leading a new generation of healthcare defined by genetic insights into disease.,strandbiz@gmail.com,+918040787263,http://strandls.com/,For Profit,2,Private Equity,"₹600,000,000",2018-02-08,Private Equity,"₹600,000,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
Agendia,https://www.crunchbase.com/organization/agendia,"Biotechnology, Genetics, Health Diagnostics, Medical","Amsterdam, Noord-Holland, The Netherlands",Agendia provides molecular diagnostics and personalized treatment plans for cancer patients.,customercare@agendia.com,(204) 621-500_,http://www.agendia.com,For Profit,8,Private Equity,"€4,048,407",2015-07-01,Grant,"$147,340,522","Biotechnology, Health Care, Science and Engineering",Private
Edison Pharmaceuticals,https://www.crunchbase.com/organization/edison-pharmaceuticals,"Biotechnology, Health Care, Medical","Mountain View, California, United States",Edison Pharmaceuticals develops medicines for the treatments of children and adults diagnosed with rare and neglected diseases.,company@edisonpharma.com,6504602070,http://edisonpharma.com/Home.aspx,For Profit,8,Private Equity,"$50,000,135",2014-03-27,Private Equity,"$90,578,582","Biotechnology, Health Care, Science and Engineering",Private
TauRx Pharmaceuticals,https://www.crunchbase.com/organization/taurx-pharmaceuticals,"Biotechnology, Health Diagnostics, Pharmaceutical","Singapore, Central Region, Singapore",TauRx Pharmaceuticals is a life sciences company developing drugs and diagnostics for neurodegenerative diseases.,bd@taurx.com,,http://taurx.com,,4,Private Equity,,2016-01-01,Private Equity,"$257,500,000","Biotechnology, Health Care, Science and Engineering",Private
