Organization Name,Organization Name URL,Categories,Category Groups,Description,Website,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,IPO Status
"Paradromics, Inc.",https://www.crunchbase.com/organization/paradromics,"Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",Paradromics is developing broadband for the brain,https://paradromics.com/,3,Seed,"$7,000,000 ",6/11/18,Seed,"$25,300,000 ",Private
Elucidata Corporation,https://www.crunchbase.com/organization/elucidata-2,"Analytics, Biotechnology, Health Care, Life Science, Software","Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","At Elucidata, we build algorithms and softwares to process, analyze and visualize large -omics data across metabolomics, genomics etc",http://www.elucidata.io/,1,Seed,"$1,700,000 ",6/18/18,Seed,"$1,700,000 ",Private
Indee Labs,https://www.crunchbase.com/organization/indee-2,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering",Indee Labs is unlocking gene-modified cell therapy for the masses with scalable hardware for gene delivery.,http://www.indeelabs.com,4,Seed,"$2,585,000 ",5/17/18,Seed,"$4,699,341 ",Private
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Biotechnology, Health Care, Machine Learning","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery.,http://www.enginebio.com,1,Seed,"$10,000,000 ",1/31/18,Seed,"$10,000,000 ",Private
OpenTrons,https://www.crunchbase.com/organization/opentrons,"Biotechnology, Developer APIs, Robotics","Biotechnology, Hardware, Science and Engineering, Software",OpenTrons is open-source rapid prototyping for biology,http://www.opentrons.com/,6,Seed,"$10,000,000 ",3/27/18,Seed,"$10,025,000 ",Private
Embark Veterinary,https://www.crunchbase.com/organization/embark-veterinary,"Animal Feed, Biotechnology, Genetics","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",End hereditary disease in all dogs through the power of genomics.,https://embarkvet.com,3,Seed,"$4,500,000 ",7/18/17,Seed,"$6,300,000 ",Private
GTN Limited,https://www.crunchbase.com/organization/gtn-limited,"Biotechnology, Chemical, Life Science, Machine Learning, Medical, Pharmaceutical","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",GTN innovates a quantum machine learning technology to transform drug discovery.,http://gtn.ai/,1,Seed,"£2,100,000",5/4/18,Seed,"£2,100,000",Private
Athelas,https://www.crunchbase.com/organization/athelas,"Artificial Intelligence, Biotechnology","Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",Athelas - rapid diagnostics through Deep Learning.,https://athelas.com/,3,Seed,"$3,500,000 ",1/1/17,Seed,"$3,620,000 ",Private
Prellis Biologics,https://www.crunchbase.com/organization/prellis-biologics,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","Prellis Biologics is building human tissues for drug development, and ultimately, developing human organs for transplantation.",https://www.prellisbiologics.co/,4,Seed,,4/19/18,Seed,"$1,920,000 ",Private
Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,"Agriculture, Biotechnology, Farming, Genetics","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Advanced prevention and management of agricultural diseases.,http://tracegenomics.com/,2,Seed,"$4,000,000 ",2/16/17,Seed,"$8,000,000 ",Private
Asimov,https://www.crunchbase.com/organization/asimov-2,Biotechnology,"Biotechnology, Science and Engineering",Asimov programs living cells with genetic circuits. We partner with customers to create previously impossible biotechnologies.,https://www.asimov.io,1,Seed,"$4,700,000 ",12/19/17,Seed,"$4,700,000 ",Private
3T Biosciences,https://www.crunchbase.com/organization/3t-biosciences,"Biopharma, Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering","3T Biosciences is an immunotherapy company headquartered in Menlo Park, California.",http://www.3tbiosciences.com,2,Seed,"$12,000,000 ",10/4/17,Seed,"$12,000,000 ",Private
Darmiyan,https://www.crunchbase.com/organization/darmiyan,"Biotechnology, Health Care, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",Darmiyan is developing a software platform that detects Alzheimer’s disease up to fifteen years before symptoms. ,https://www.darmiyan.com/,4,Seed,"$3,080,000 ",10/1/17,Seed,"$3,200,000 ",Private
Nura,https://www.crunchbase.com/organization/nura-3,"Biotechnology, Hardware, Music, Wearables","Biotechnology, Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Science and Engineering","Nura is a Melbourne-based team of experts in engineering, acoustics, biology, hearing science and product delivery.",https://www.nuraphone.com/,5,Seed,"$4,600,000 ",2/13/17,Seed,"$7,227,643 ",Private
Kura Technologies ,https://www.crunchbase.com/organization/aurora-tech-inc,"Artificial Intelligence, Augmented Reality, Biotechnology, Electronics, Hardware, Manufacturing, Optical Communication, Semiconductor, Software","Artificial Intelligence, Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Kura Technologies is an augmented reality company focused on building the next generation AR optics/display module.,http://kura.tech,1,Seed,"$1,500,000 ",2/28/17,Seed,"$1,500,000 ",Private
LabGenius,https://www.crunchbase.com/organization/labgenius,"Advanced Materials, Artificial Intelligence, Biotechnology, Machine Learning, Robotics, Therapeutics","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Health Care, Manufacturing, Science and Engineering, Software",Harnessing evolution with AI to develop radically new protein materials and components.,http://www.labgeni.us,1,Seed,"$3,660,000 ",11/24/17,Seed,"$3,660,000 ",Private
BRAINCONTROL,https://www.crunchbase.com/organization/brain-control,"Biotechnology, Health Care, Information Technology","Biotechnology, Health Care, Information Technology, Science and Engineering",BrainControl is a platform based on Artificial Intelligence for human-machine interaction through bio-feedback,http://www.braincontrol.com/,1,Seed,"€2,500,000",6/13/18,Seed,"€2,500,000",Private
Shield Diagnostics,https://www.crunchbase.com/organization/tl-biolabs,"Biotechnology, Genetics, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",ShieldDX - fighting antibiotic resistance with genomics.,http://shielddx.com,1,Seed,"$4,000,000 ",2/23/17,Seed,"$4,000,000 ",Private
Clora,https://www.crunchbase.com/organization/clora,"Biotechnology, Consulting, Life Science, Marketplace, Medical Device, Pharmaceutical","Biotechnology, Commerce and Shopping, Health Care, Science and Engineering","Clora is an intelligent platform that matches life science companies with flexible, on-demand expertise.",https://clora.com/,1,Seed,"$3,300,000 ",12/7/17,Seed,"$3,300,000 ",Private
Wild Type,https://www.crunchbase.com/organization/wild-type,"AgTech, Biotechnology, Food and Beverage","Agriculture and Farming, Biotechnology, Food and Beverage, Science and Engineering","Wild Type is an agtech platform based in San Francisco, California.",https://www.thewildtype.com/,1,Seed,"$3,500,000 ",3/30/18,Seed,"$3,500,000 ",Private
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,"Artificial Intelligence, Big Data, Biotechnology, Data Visualization, Health Care, Machine Learning, Medical, Pharmaceutical, SaaS, Software","Artificial Intelligence, Biotechnology, Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",PicnicHealth puts patients in control of their health by collecting and digitizing their medical records into a PicnicHealth timeline. ,https://picnichealth.com/,2,Seed,"$2,000,000 ",4/2/15,Seed,"$2,000,000 ",Private
"Allevi, formely know as BioBots",https://www.crunchbase.com/organization/biobots,"3D Printing, Biotechnology, Robotics","Biotechnology, Hardware, Manufacturing, Science and Engineering, Software",Build with Life,http://www.allevi3d.com,5,Seed,,6/7/16,Seed,"$2,810,000 ",Private
Future Meat Technologies,https://www.crunchbase.com/organization/future-meat-technologies,"Biotechnology, Manufacturing","Biotechnology, Manufacturing, Science and Engineering",Future Meat Technologies is a biotechnology lab-grown meat company.,https://www.future-meat.com/,1,Seed,"$2,200,000 ",5/2/18,Seed,"$2,200,000 ",Private
Geltor,https://www.crunchbase.com/organization/geltor,"Advanced Materials, Biotechnology","Biotechnology, Manufacturing, Science and Engineering",Geltor is a biotechnology company that designs and builds texture-defining materials.,http://www.geltor.com/,2,Seed,"$2,250,000 ",2/1/16,Seed,"$2,500,000 ",Private
Biobot Analytics,https://www.crunchbase.com/organization/biobot-analytics,"Analytics, Biotechnology, GovTech","Biotechnology, Data and Analytics, Government and Military, Information Technology, Science and Engineering",Biobot Analytics analyzes city sewage to estimate opioid consumption.,http://www.biobot.io/,3,Seed,"$2,005,000 ",4/30/18,Seed,"$2,470,000 ",Private
X-ZELL,https://www.crunchbase.com/organization/x-zell,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",X-ZELL is a fully integrated biotechnology company specialising in rare cell detection technology.,http://www.x-zell.com,4,Seed,"$750,000 ",5/1/18,Seed,"$2,330,000 ",Private
Inkbox,https://www.crunchbase.com/organization/inkbox,"Biotechnology, Consumer, Fashion, Lifestyle","Biotechnology, Clothing and Apparel, Community and Lifestyle, Design, Science and Engineering",inkbox provides customers with the ability to have the look & feel of a traditional tattoo for 2 weeks.,http://inkbox.com/,2,Seed,"$1,000,000 ",7/21/16,Seed,"$1,216,545 ",Private
Kronos Bio,https://www.crunchbase.com/organization/kronos-bio,"Biotechnology, Chemical, Therapeutics","Biotechnology, Health Care, Science and Engineering",Kronos Bio is dedicated to the research and development of first-in-class therapies that modulate historically recalcitrant cancer targets.,http://www.kronosbio.com/,1,Seed,"$18,000,000 ",5/23/18,Seed,"$18,000,000 ",Private
Sequence Bio,https://www.crunchbase.com/organization/sequence-bio,"Analytics, Biotechnology, Genetics, Medical","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Striving to cure disease and transform drug discovery by researching the one-of-a-kind genetic makeup in Newfoundland & Labrador. ,http://www.sequencebio.com,2,Seed,"$3,000,000 ",8/3/16,Seed,"$4,000,000 ",Private
Aromyx,https://www.crunchbase.com/organization/aromyx,"Analytics, Artificial Intelligence, Big Data, Biotechnology, Machine Learning","Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",Aromyx Corporation digitizes taste and smell - the 40% of sensory data never before measured.,http://www.aromyx.com,6,Seed,,12/11/17,Seed,"$5,808,000 ",Private
LifeFuels,https://www.crunchbase.com/organization/lifefuels,"Biotechnology, Food and Beverage, Hardware, Health Care, Internet of Things, Wearables","Biotechnology, Consumer Electronics, Food and Beverage, Hardware, Health Care, Internet Services, Science and Engineering",LifeFuels is changing the way consumers approach hydration and nutrition by empowering them to create personalized beverages on the go.,https://www.lifefuels.co,1,Seed,"$5,000,000 ",4/14/17,Seed,"$5,000,000 ",Private
QMENTA ,https://www.crunchbase.com/organization/mint-labs,"Big Data, Biotechnology, Cloud Computing, Health Care, Medical, Neuroscience","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",QMENTA is on a mission to help make brain diseases a thing of the past by using imaging to its full potential with computational analytics.,http://www.qmenta.com,9,Seed,"€3,000,000",5/5/17,Seed,"$3,992,035 ",Private
Akouos,https://www.crunchbase.com/organization/akouos,"Biotechnology, Health Diagnostics, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Akouos is a new biotechnology company focused on restoring and preserving hearing.,https://www.akouos.com/,1,Seed,"$7,500,000 ",11/30/17,Seed,"$7,500,000 ",Private
Solugen,https://www.crunchbase.com/organization/solugen,"Biopharma, Biotechnology, GreenTech","Biotechnology, Health Care, Science and Engineering, Sustainability",Solugen has developed a unique process for the synthesis of hydrogen peroxide inspired by principles of cancer biology.,https://www.solugentech.com/,4,Seed,"$4,400,000 ",10/24/17,Seed,"$4,400,000 ",Private
Cambridge Cancer Genomics,https://www.crunchbase.com/organization/cambridge-cancer-genomics,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Cambridge Cancer Genomics is using blood tests to guide smarter cancer therapy.,http://ccg.ai,2,Seed,"$120,000 ",8/21/17,Seed,"$4,120,000 ",Private
Appili Therapeutics,https://www.crunchbase.com/organization/appili-therapeutics,"Biotechnology, Marketing, Therapeutics","Biotechnology, Health Care, Sales and Marketing, Science and Engineering",Canada-based anti-infective pharmaceutical development company,http://www.appilitherapeutics.com/,6,Seed,"$4,330,000 ",2/7/18,Seed,"$16,296,483 ",Private
ReviveMed,https://www.crunchbase.com/organization/revivemed,"Biotechnology, Health Care, Wellness","Biotechnology, Health Care, Science and Engineering",ReviveMed is a precision-medicine platform that leverages the data from small molecules or metabolites. ,http://revive-med.com,1,Seed,"$1,500,000 ",4/18/18,Seed,"$1,500,000 ",Private
Excision BioTherapeutics,https://www.crunchbase.com/organization/excision-biotherapeutics,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",A life science company.,https://www.excisionbio.com/,2,Seed,"$10,000,000 ",9/6/17,Seed,"$20,000,000 ",Private
Osler Diagnostics,https://www.crunchbase.com/organization/osler-diagnostics,"Biotechnology, Health Care, Health Diagnostics, Life Science","Biotechnology, Health Care, Science and Engineering","A ground-breaking handheld diagnostic for testing a vast range of biomarkers, from a pinprick of blood, in <10 mins, for only a few dollars",http://oslerdiagnostics.com/,1,Seed,"£2,000,000",7/25/16,Seed,"£2,000,000",Private
Florence Healthcare,https://www.crunchbase.com/organization/florence-heathcare,"Biotechnology, Cloud Data Services, EdTech, Health Care, Hospital, Pharmaceutical","Biotechnology, Education, Health Care, Information Technology, Internet Services, Science and Engineering, Software",Florence advances clinical research through software by connecting trial sites with pharmaceutical sponsors.,http://florencehc.com/,1,Seed,"$1,700,000 ",8/2/16,Seed,"$1,700,000 ",Private
Episona,https://www.crunchbase.com/organization/episona-inc,"Biotechnology, Fertility, Genetics, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",Episona is an epigenetics data company focused on improving healthcare outcomes.,https://episona.com,3,Seed,"$2,620,000 ",6/6/17,Seed,"$3,995,000 ",Private
