Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
"Paradromics, Inc.",https://www.crunchbase.com/organization/paradromics,"Biotechnology, Health Care","San Jose, California, United States",Paradromics is developing broadband for the brain,info@paradromics.com,,https://paradromics.com/,For Profit,3,Seed,"$7,000,000",2018-06-11,Seed,"$25,300,000","Biotechnology, Health Care, Science and Engineering",Private
Elucidata Corporation,https://www.crunchbase.com/organization/elucidata-2,"Analytics, Biotechnology, Health Care, Life Science, Software","Massachusetts, United States, North America","At Elucidata, we build algorithms and softwares to process, analyze and visualize large -omics data across metabolomics, genomics etc",,,http://www.elucidata.io/,For Profit,1,Seed,"$1,700,000",2018-06-18,Seed,"$1,700,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Indee Labs,https://www.crunchbase.com/organization/indee-2,"Biotechnology, Genetics","San Francisco, California, United States",Indee Labs is unlocking gene-modified cell therapy for the masses with scalable hardware for gene delivery.,hello@indeelabs.com,,http://www.indeelabs.com,For Profit,4,Seed,"$2,585,000",2018-05-17,Seed,"$4,699,341","Biotechnology, Health Care, Science and Engineering",Private
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Biotechnology, Health Care, Machine Learning","San Francisco, California, United States",Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery.,contact@enginebio.com,,http://www.enginebio.com,For Profit,1,Seed,"$10,000,000",2018-01-31,Seed,"$10,000,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
OpenTrons,https://www.crunchbase.com/organization/opentrons,"Biotechnology, Developer APIs, Robotics","Brooklyn, New York, United States",OpenTrons is open-source rapid prototyping for biology,info@opentrons.com,,http://www.opentrons.com/,For Profit,6,Seed,"$10,000,000",2018-03-27,Seed,"$10,025,000","Biotechnology, Hardware, Science and Engineering, Software",Private
Embark Veterinary,https://www.crunchbase.com/organization/embark-veterinary,"Animal Feed, Biotechnology, Genetics","Austin, Texas, United States",End hereditary disease in all dogs through the power of genomics.,howdy@embarkvet.com,1(224)236-2275,https://embarkvet.com,For Profit,3,Seed,"$4,500,000",2017-07-18,Seed,"$6,300,000","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Private
GTN Limited,https://www.crunchbase.com/organization/gtn-limited,"Biotechnology, Chemical, Life Science, Machine Learning, Medical, Pharmaceutical","London, England, United Kingdom",GTN innovates a quantum machine learning technology to transform drug discovery.,contact@gtn.ai,,http://gtn.ai/,For Profit,1,Seed,"£2,100,000",2018-05-04,Seed,"£2,100,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Athelas,https://www.crunchbase.com/organization/athelas,"Artificial Intelligence, Biotechnology","Mountain View, California, United States",Athelas - rapid diagnostics through Deep Learning.,founders@getathelas.com,,https://athelas.com/,For Profit,3,Seed,"$3,500,000",2017-01-01,Seed,"$3,620,000","Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",Private
Prellis Biologics,https://www.crunchbase.com/organization/prellis-biologics,"Biotechnology, Health Care, Medical","San Francisco, California, United States","Prellis Biologics is building human tissues for drug development, and ultimately, developing human organs for transplantation.",melanie@prellisbio.com,,https://www.prellisbiologics.co/,For Profit,4,Seed,,2018-04-19,Seed,"$1,920,000","Biotechnology, Health Care, Science and Engineering",Private
Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,"Agriculture, Biotechnology, Farming, Genetics","San Francisco, California, United States",Advanced prevention and management of agricultural diseases.,info@tracegenomics.com,(831)296-0111,http://tracegenomics.com/,For Profit,2,Seed,"$4,000,000",2017-02-16,Seed,"$8,000,000","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Private
Asimov,https://www.crunchbase.com/organization/asimov-2,Biotechnology,"Cambridge, Massachusetts, United States",Asimov programs living cells with genetic circuits. We partner with customers to create previously impossible biotechnologies.,,,https://www.asimov.io,,1,Seed,"$4,700,000",2017-12-19,Seed,"$4,700,000","Biotechnology, Science and Engineering",Private
