Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Novartis,https://www.crunchbase.com/organization/novartis,"Biotechnology, Health Care, Pharmaceutical","Basel, Basel-Stadt, Switzerland","To discover, develop and successfully market innovative products to prevent and cure diseases, to ease suffering.",eric.althoff@novartis.com,+41 61 324 11 11,http://www.novartis.com,For Profit,1,IPO,"$6,500,000",2018-02-14,Grant,"$6,500,000","Biotechnology, Health Care, Science and Engineering",Public
"Merck & Co., Inc.",https://www.crunchbase.com/organization/merck-co-inc,"Biotechnology, Health Care, Medical","Whitehouse Station, New Jersey, United States",Merck is a global healthcare leader working to help the world be well. Merck is known as MSD outside the United States and Canada.,,(908) 740-4000,http://www.merck.com,For Profit,1,IPO,"$5,000,000",2016-01-21,Venture - Series Unknown,"$5,000,000","Biotechnology, Health Care, Science and Engineering",Public
WuXi AppTec,https://www.crunchbase.com/organization/wuxi-apptec,"Biotechnology, Health Care, Medical Device, Pharmaceutical","Shanghai, Shanghai, China","WuXi AppTec is a global pharmaceutical, biopharmaceutical, and medical device outsourcing company.",tech@4abio.com,651-675-2000,http://www.wuxiapptec.com.cn,For Profit,6,IPO,"$1,500,000,000",2016-03-06,Debt Financing,"$1,593,470,000","Biotechnology, Health Care, Science and Engineering",Public
Aptinyx,https://www.crunchbase.com/organization/aptinyx,"Biopharma, Biotechnology, Medical","Evanston, Illinois, United States",Aptinyx Inc. is a biopharmaceutical company.,corporate@aptinyx.com,(847)871-0377,http://www.aptinyx.com/,For Profit,2,IPO,"$70,000,000",2017-12-18,Series B,"$135,000,000","Biotechnology, Health Care, Science and Engineering",Public
Xeris Pharmaceuticals,https://www.crunchbase.com/organization/xeris-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Austin, Texas, United States","Xeris Pharmaceuticals is a specialty company developing patient-friendly injectables for indications in diabetes, epilepsy, and immunology.",info@xerispharma.com,5123050009,http://xerispharma.com,,10,IPO,"$55,000,000",2018-03-08,Series C,"$202,700,000","Biotechnology, Health Care, Science and Engineering",Public
Forty Seven,https://www.crunchbase.com/organization/forty-seven,"Biotechnology, Clinical Trials, Health Care","Palo Alto, California, United States","Forty Seven, Inc. is a clinical-stage immuno-oncology company that is developing therapies targeting cancer immune evasion pathways.",info@fortyseveninc.com,(650)352-4150,http://www.fortyseveninc.com,For Profit,2,IPO,"$75,000,000",2017-10-17,Series B,"$150,000,000","Biotechnology, Health Care, Science and Engineering",Public
Magenta Therapeutics,https://www.crunchbase.com/organization/magenta-therapeutics,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",Magenta Therapeutics is a new biotechnology company developing therapeutics that unlock the power of stem cell biology.,,857.242.0170,https://www.magentatx.com,For Profit,3,IPO,"$52,000,000",2018-04-09,Series C,"$150,500,000","Biotechnology, Health Care, Science and Engineering",Public
Takeda Pharmaceutical,https://www.crunchbase.com/organization/takeda-pharmaceutical,"Biotechnology, Health Care, Health Diagnostics, Medical","Osaka, Osaka, Japan",Takeda Pharmaceutical Company Limited operates as a research-based pharmaceutical company in Japan.,,(816) 620-4211,http://www.takeda.com,For Profit,2,IPO,"$19,800,000",2016-09-01,Grant,"$57,800,000","Biotechnology, Health Care, Science and Engineering",Public
Eidos Therapeutics,https://www.crunchbase.com/organization/eidos-therapeutics,"Biopharma, Biotechnology, Pharmaceutical","Palo Alto, California, United States","BridgeBio is a clinical-stage biotech company developing novel, genetically targeted therapies to improve the lives of patients.",info@eidostx.com,650-656-9920,http://eidostx.com,,1,IPO,"$64,000,000",2018-04-05,Series B,"$64,000,000","Biotechnology, Health Care, Science and Engineering",Public
Avrobio,https://www.crunchbase.com/organization/avrobio,"Biotechnology, Genetics","Cambridge, Massachusetts, United States",Avrobio is a clinical stage company developing step-change cell and gene therapies targeting cancer and rare disease.,info@avrobio.com,(617) 914 8420,http://www.avrobio.com/,For Profit,3,IPO,"$60,000,000",2018-02-01,Series B,"$85,000,000","Biotechnology, Health Care, Science and Engineering",Public
